timestamp(ms);ADC;ADC>ADC;
"1769551388.074";"177";;
"1769551388.076";"183";;
"1769551388.078";"179";;
"1769551388.08";"179";;
"1769551388.082";"178";;
"1769551388.084";"174";;
"1769551388.086";"178";;
"1769551388.088";"174";;
"1769551388.09";"182";;
"1769551388.092";"176";;
"1769551388.094";"178";;
"1769551388.096";"174";;
"1769551388.098";"177";;
"1769551388.1";"176";;
"1769551388.102";"177";;
"1769551388.104";"176";;
"1769551388.106";"177";;
"1769551388.108";"176";;
"1769551388.11";"176";;
"1769551388.112";"185";;
"1769551388.114";"176";;
"1769551388.116";"178";;
"1769551388.118";"176";;
"1769551388.12";"176";;
"1769551388.122";"178";;
"1769551388.124";"167";;
"1769551388.126";"178";;
"1769551388.128";"179";;
"1769551388.13";"169";;
"1769551388.132";"176";;
"1769551388.134";"176";;
"1769551388.136";"178";;
"1769551388.138";"187";;
"1769551388.14";"174";;
"1769551388.142";"178";;
"1769551388.144";"174";;
"1769551388.146";"177";;
"1769551388.148";"179";;
"1769551388.15";"179";;
"1769551388.152";"177";;
"1769551388.154";"177";;
"1769551388.156";"178";;
"1769551388.158";"179";;
"1769551388.16";"178";;
"1769551388.162";"176";;
"1769551388.164";"179";;
"1769551388.166";"181";;
"1769551388.168";"177";;
"1769551388.17";"179";;
"1769551388.172";"179";;
"1769551388.174";"175";;
"1769551388.176";"179";;
"1769551388.178";"180";;
"1769551388.18";"177";;
"1769551388.182";"177";;
"1769551388.184";"180";;
"1769551388.186";"171";;
"1769551388.188";"174";;
"1769551388.19";"177";;
"1769551388.192";"179";;
"1769551388.194";"172";;
"1769551388.196";"177";;
"1769551388.198";"182";;
"1769551388.2";"177";;
"1769551388.202";"175";;
"1769551388.204";"175";;
"1769551388.206";"176";;
"1769551388.208";"177";;
"1769551388.21";"182";;
"1769551388.212";"180";;
"1769551388.214";"162";;
"1769551388.216";"176";;
"1769551388.218";"176";;
"1769551388.22";"177";;
"1769551388.222";"179";;
"1769551388.254";"178";;
"1769551388.255";"176";;
"1769551388.256";"180";;
"1769551388.257";"182";;
"1769551388.258";"175";;
"1769551388.26";"176";;
"1769551388.267";"178";;
"1769551388.27";"175";;
"1769551388.272";"178";;
"1769551388.274";"176";;
"1769551388.276";"176";;
"1769551388.278";"174";;
"1769551388.28";"181";;
"1769551388.282";"177";;
"1769551388.284";"175";;
"1769551388.286";"175";;
"1769551388.288";"175";;
"1769551388.29";"168";;
"1769551388.292";"179";;
"1769551388.294";"176";;
"1769551388.296";"179";;
"1769551388.298";"176";;
"1769551388.3";"175";;
"1769551388.302";"177";;
"1769551388.304";"176";;
"1769551388.306";"177";;
"1769551388.308";"174";;
"1769551388.31";"169";;
"1769551388.312";"178";;
"1769551388.314";"170";;
"1769551388.316";"176";;
"1769551388.318";"178";;
"1769551388.32";"178";;
"1769551388.322";"179";;
"1769551388.324";"181";;
"1769551388.326";"176";;
"1769551388.328";"177";;
"1769551388.33";"179";;
"1769551388.332";"178";;
"1769551388.334";"178";;
"1769551388.336";"160";;
"1769551388.338";"177";;
"1769551388.34";"175";;
"1769551388.342";"180";;
"1769551388.344";"176";;
"1769551388.346";"180";;
"1769551388.348";"166";;
"1769551388.35";"173";;
"1769551388.352";"179";;
"1769551388.354";"179";;
"1769551388.356";"177";;
"1769551388.358";"172";;
"1769551388.36";"178";;
"1769551388.362";"178";;
"1769551388.364";"177";;
"1769551388.366";"176";;
"1769551388.368";"173";;
"1769551388.37";"181";;
"1769551388.372";"177";;
"1769551388.374";"175";;
"1769551388.376";"178";;
"1769551388.378";"177";;
"1769551388.38";"185";;
"1769551388.382";"174";;
"1769551388.384";"178";;
"1769551388.386";"178";;
"1769551388.388";"175";;
"1769551388.39";"178";;
"1769551388.392";"174";;
"1769551388.394";"177";;
"1769551388.396";"176";;
"1769551388.398";"177";;
"1769551388.4";"178";;
"1769551388.402";"176";;
"1769551388.404";"178";;
"1769551388.406";"177";;
"1769551388.408";"179";;
"1769551388.41";"178";;
"1769551388.412";"175";;
"1769551388.414";"178";;
"1769551388.416";"176";;
"1769551388.418";"185";;
"1769551388.42";"179";;
"1769551388.422";"174";;
"1769551388.424";"174";;
"1769551388.426";"176";;
"1769551388.428";"176";;
"1769551388.43";"176";;
"1769551388.432";"176";;
"1769551388.434";"177";;
"1769551388.436";"177";;
"1769551388.438";"179";;
"1769551388.44";"176";;
"1769551388.442";"180";;
"1769551388.444";"184";;
"1769551388.446";"176";;
"1769551388.448";"180";;
"1769551388.45";"175";;
"1769551388.452";"176";;
"1769551388.454";"177";;
"1769551388.456";"176";;
"1769551388.458";"174";;
"1769551388.46";"173";;
"1769551388.462";"178";;
"1769551388.464";"172";;
"1769551388.466";"177";;
"1769551388.468";"179";;
"1769551388.47";"179";;
"1769551388.472";"177";;
"1769551388.474";"175";;
